file_project,total_downloads
python-gnupg,1393263
livereload,1393206
txaio,1392164
azure-eventgrid,1389425
recommonmark,1387584
ciso8601,1386170
troposphere,1385666
azure-storage-file,1383935
sqlalchemy-migrate,1383033
nose-timer,1379722
pep8-naming,1377659
connexion,1372923
plumbum,1362793
falcon,1362046
ddtrace,1361613
clickclick,1360812
flake8-docstrings,1360408
pyvcf,1359632
cssselect2,1358605
virtualenvwrapper,1357646
logging,1356387
mozinfo,1355409
comtypes,1352430
oslo-concurrency,1351922
ntlm-auth,1349850
azure-mgmt-applicationinsights,1348557
mozrunner,1348095
querystring-parser,1338601
pyqt5,1336622
pytimeparse,1332788
mozfile,1328791
gapic-google-cloud-pubsub-v1,1328053
flaky,1324780
diff-match-patch,1321712
webapp2,1321015
proto-google-cloud-pubsub-v1,1320645
django-ipware,1317375
identify,1316602
timeout-decorator,1315909
pyinstaller,1313598
mpi4py,1311887
graphene,1311791
social-auth-core,1311635
ipaddr,1311470
oauth2,1310640
googledatastore,1309314
setupmeta,1307084
defer,1306619
aspy-yaml,1303689
weasyprint,1303528
spark-sklearn,1299967
argon2-cffi,1294844
mozterm,1292888
azure-mgmt-datafactory,1290495
